,Title,Genre,Premiere,Runtime,IMDB.Score,Language,origLang
425,ReMastered: Who Shot the Sheriff?,Documentary,10/12/2018,57,6.9,English,English
433,Feminists: What Were They Thinking?,Documentary,10/12/2018,86,7,English,English
451,The Night Comes for Us,Action,10/19/2018,121,7,Indonesian,Indonesian
458,Derren Brown: Sacrifice,Other,10/19/2018,49,7.1,English,English
109,Been So Long,Musical,10/26/2018,100,5.5,English,English
527,Shirkers,Documentary,10/26/2018,97,7.4,English,English
157,The Holiday Calendar,Romance,11/02/2018,95,5.7,English,English
410,The Other Side of the Wind,Drama,11/02/2018,122,6.8,English,English
473,ReMastered: Tricky Dick & the Man in Black,Documentary,11/02/2018,58,7.1,English,English
531,They'll Love Me When I'm Dead,Documentary,11/02/2018,98,7.4,English,English
423,Outlaw King,Action,11/09/2018,121,6.9,English,English
468,Loudon Wainwright III: Surviving Twin,Other,11/13/2018,91,7.1,English,English
196,Cam,Horror/Thriller,11/16/2018,94,5.9,English,English
218,The Princess Switch,Romance,11/16/2018,101,6,English,English
517,The Ballad of Buster Scruggs,Action,11/16/2018,132,7.3,English,English
449,The Christmas Chronicles,Sci-Fi/Fantasy,11/22/2018,104,7,English,English
85,A Christmas Prince: The Royal Wedding,Romance,11/30/2018,92,5.3,English,English
177,Rajma Chawal,Comedy,11/30/2018,118,5.8,Hindi,Hindi
453,Angela's Christmas,Animation,11/30/2018,30,7.1,English,English
30,5 Star Christmas,Comedy,12/07/2018,95,4.6,Italian,Italian
338,Mowgli: Legend of the Jungle,Action,12/07/2018,104,6.5,English,English
357,ReMastered: Who Killed Jam Master Jay?,Documentary,12/07/2018,58,6.6,English,English
360,The American Meme,Documentary,12/07/2018,98,6.6,English,English
153,"Out of Many, One",Documentary,12/12/2018,34,5.7,English,English
560,Roma,Drama,12/14/2018,135,7.7,Spanish,Spanish
582,Springsteen on Broadway,Other,12/16/2018,153,8.5,English,English
279,Porta dos Fundos: The Last Hangover,Comedy,12/21/2018,44,6.3,Portuguese,Portuguese
348,Bird Box,Horror/Thriller,12/21/2018,124,6.6,English,English
568,Struggle: The Life and Lost Art of Szukaiski,Documentary,12/21/2018,105,8,English,English
580,Taylor Swift: Reputation Stadium Tour,Musical,12/31/2018,125,8.4,English,English
150,Lionheart,Comedy,01/04/2019,94,5.7,English,English
135,The Last Laugh,Comedy,01/11/2019,98,5.6,English,English
511,ReMastered: Massacre at the Stadium,Documentary,01/11/2019,64,7.3,Spanish,English/Spanish
39,IO,Sci-Fi/Fantasy,1/18/2019,95,4.7,English,English
483,Fyre: The Greatest Party That Never Happened,Documentary,1/18/2019,97,7.2,English,English
492,Soni,Action,1/18/2019,97,7.2,Hindi,Hindi
278,Polar,Action,1/25/2019,118,6.3,English,English
160,Velvet Buzzsaw,Horror/Thriller,02/01/2019,112,5.7,English,English
114,Kevin Hart's Guide to Black History,Other,02/08/2019,63,5.5,English,English
251,High Flying Bird,Drama,02/08/2019,90,6.2,English,English
512,ReMastered: The Two Killings of Sam Cooke,Documentary,02/08/2019,64,7.3,English,English
525,Period. End of Sentence.,Documentary,02/12/2019,26,7.4,Hindi,English/Hindi
33,Paris Is Us,Romance,2/22/2019,83,4.6,French,French
71,Firebrand,Drama,2/22/2019,112,5.2,Marathi,Marathi
488,Paddleton,Comedy,2/22/2019,89,7.2,English,English
212,Juanita,Drama,03/08/2019,90,6,English,English
318,Walk. Ride. Rodeo.,Drama,03/08/2019,99,6.4,English,English
316,Triple Frontier,Action,3/13/2019,125,6.4,English,English
325,Antoine Griezmann: The Making of a Legend,Documentary,3/21/2019,60,6.5,French,French
445,ReMastered: The Miami Showband Massacre,Documentary,3/22/2019,70,7,English,English
450,The Dirt,Biopic,3/22/2019,108,7,English,English
162,15-àåâ,Comedy,3/29/2019,124,5.8,Marathi,Marathi
287,The Legend of Cocaine Island,Documentary,3/29/2019,87,6.3,English,English
430,The Highwaymen,Action,3/29/2019,131,6.9,English,English
125,Unicorn Store,Comedy,04/05/2019,92,5.5,English,English
93,Who Would You Take to a Deserted Island?,Drama,04/12/2019,93,5.3,Spanish,Spanish
189,The Perfect Date,Romance,04/12/2019,89,5.8,English,English
537,Homecoming: A Film by Beyonce ,Documentary,4/17/2019,137,7.5,English,English
257,Someone Great,Romance,4/19/2019,92,6.2,English,English
275,Music Teacher,Drama,4/19/2019,101,6.3,Hindi,Hindi
555,Brene Brown: The Call to Courage,Documentary,4/19/2019,76,7.7,English,English
463,Grass Is Greener,Documentary,4/20/2019,97,7.1,English,English
443,ReMastered: Devil at the Crossroads,Documentary,4/26/2019,48,7,English,English
467,Knock Down the House,Documentary,05/01/2019,87,7.1,English,English
97,Despite Everything,Comedy,05/03/2019,78,5.4,Spanish,Spanish
395,All in My Family,Documentary,05/03/2019,39,6.8,Mandarin,English/Mandarin
126,Wine Country,Comedy,05/10/2019,103,5.5,English,English
80,Still Laugh-In: The Stars Celebrate,Other,5/14/2019,60,5.2,English,English
149,Good Sam,Drama,5/16/2019,89,5.7,English,English
79,See You Yesterday,Sci-Fi/Fantasy,5/17/2019,87,5.2,English,English
444,ReMastered: The Lion's Share,Documentary,5/17/2019,84,7,English,English
264,A Tale of Two Kitchens,Documentary,5/22/2019,30,6.3,Spanish,English/Spanish
431,The Lonely Island Presents: The Unauthorized Bash Brothers Experience,Musical,5/23/2019,30,6.9,English,English
31,After Maria,Documentary,5/24/2019,37,4.6,Spanish,English/Spanish
77,Rim of the World,Sci-Fi/Fantasy,5/24/2019,98,5.2,English,English
241,The Perfection,Horror/Thriller,5/24/2019,90,6.1,English,English
328,Chopsticks,Comedy,5/31/2019,100,6.5,Hindi,Hindi
396,Always Be My Maybe,Romance,5/31/2019,102,6.8,English,English
351,Elisa & Marcela,Romance,06/07/2019,118,6.6,Spanish,Spanish
528,The Black Godfather,Documentary,06/07/2019,118,7.4,English,English
546,Rolling Thunder Revue: A bob Dylan Story by Martin Scorsere,Documentary,06/12/2019,144,7.6,English,English
213,Murder Mystery,Horror/Thriller,6/14/2019,97,6,English,English
335,Life Overtakes Me,Documentary,6/14/2019,40,6.5,Swedish,English/Swedish
455,Beats,Drama,6/19/2019,110,7.1,English,English
495,The Edge of Democracy,Documentary,6/19/2019,121,7.2,Portuguese,Portuguese
553,Anima,Musical,6/27/2019,15,7.7,English,English
385,Parchis: The Documentary,Documentary,07/10/2019,106,6.7,Spanish,Spanish
154,Point Blank,Action,07/12/2019,86,5.7,English,English
198,"Frankenstein's Monster's Monster, Frankenstein",Other,7/16/2019,32,5.9,English,English
22,Secret Obsession,Horror/Thriller,7/18/2019,97,4.4,English,English
477,The Great Hack,Documentary,7/24/2019,114,7.1,English,English
363,The Red Sea Diving Resort,Horror/Thriller,7/31/2019,130,6.6,English,English
232,Otherhood,Comedy,08/02/2019,100,6.1,English,English
1,Enter the Anime,Documentary,08/05/2019,58,2.5,Japanese,English/Japanese
211,Lovefucked,Drama,08/09/2019,106,6,Hindi,Hindi
447,Rocko's Modern Life: Static Cling,Animation,08/09/2019,45,7,English,English
23,Sextuplets,Comedy,8/16/2019,99,4.4,English,English
538,Invader Zim: Enter the Florpus,Animation,8/16/2019,71,7.5,English,English
67,American Factory: A Conversation with the Obamas ,Other,8/21/2019,10,5.2,English,English
521,American Factory,Documentary,8/21/2019,110,7.4,English,English
291,Travis Scott: Look Mom I Can Fly,Documentary,8/28/2019,85,6.3,English,English
130,Falling Inn Love,Romance,8/29/2019,97,5.6,English,English
86,Back to School,Comedy,8/30/2019,83,5.3,French,French
461,Evelyn,Documentary,09/10/2019,96,7.1,English,English
21,"Hello Privilege. It's Me, Chelsea",Documentary,9/13/2019,64,4.4,English,English
82,Tall Girl,Comedy,9/13/2019,102,5.2,English,English
438,Los Tigres del Norte at Folsom Prison,Documentary,9/15/2019,64,7,Spanish,Spanish
222,Between Two Ferns: The Movie,Comedy,9/20/2019,82,6.1,English,English
296,Birders,Documentary,9/25/2019,37,6.4,Spanish,English/Spanish
252,In the Shadow of the Moon,Horror/Thriller,9/27/2019,115,6.2,English,English
310,Sturgill Simpson Presents: Sound & Fury,Animation,9/27/2019,41,6.4,English,English
102,In the Tall Grass,Horror/Thriller,10/04/2019,101,5.4,English,English
285,The Forest of Love,Drama,10/11/2019,151,6.3,Japanese,Japanese
299,Fractured,Horror/Thriller,10/11/2019,100,6.4,English,English
501,El Camino: A Breaking Bad Movie,Action,10/11/2019,121,7.3,English,English
308,Street Flow,Drama,10/12/2019,96,6.4,French,French
112,Ghosts of Sugar Land,Documentary,10/16/2019,21,5.5,English,English
147,Eli,Horror/Thriller,10/18/2019,98,5.7,English,English
286,The Laundromat,Comedy,10/18/2019,98,6.3,English,English
389,Upstarts,Drama,10/18/2019,112,6.7,Hindi,Hindi
490,Seventeen,Comedy,10/18/2019,99,7.2,Spanish,Spanish
547,Tell Me Who I Am,Documentary,10/18/2019,85,7.6,English,English
578,Dancing with the Birds,Documentary,10/23/2019,51,8.3,English,English
35,Rattlesnake,Horror/Thriller,10/25/2019,85,4.6,English,English
354,It Takes a Lunatic,Documentary,10/25/2019,126,6.6,English,English
500,Dolemite Is My Name,Biopic,10/25/2019,118,7.3,English,English
321,A 3 Minute Hug,Documentary,10/28/2019,28,6.5,Spanish,English/Spanish
379,Little Miss Sumo,Documentary,10/28/2019,19,6.7,Japanese,Japanese
497,The Road to El Camino: A Breaking Bad Movie,Other,10/29/2019,13,7.2,English,English
6,Drive,Action,11/01/2019,147,3.5,Hindi,Hindi
166,American Son,Drama,11/01/2019,90,5.8,English,English
228,Holiday in the Wild,Action,11/01/2019,85,6.1,English,English
496,The King,Action,11/01/2019,140,7.2,English,English
522,Fire in Paradise,Documentary,11/01/2019,39,7.4,English,English
174,Let It Snow,Romance,11/08/2019,92,5.8,English,English
113,House Arrest,Comedy,11/15/2019,104,5.5,Hindi,Hindi
197,Earthquake Bird,Horror/Thriller,11/15/2019,107,5.9,English,English
574,Klaus,Animation,11/15/2019,97,8.2,English,English
368,"Bikram: Yogi, Guru, Predator",Documentary,11/20/2019,86,6.7,English,English
437,"Lorena, Light-Footed Woman",Documentary,11/20/2019,28,7,Spanish,Spanish
